provider,sku,name,category,status,lastSeenAt,image,productUrl
"Coaster Furniture","200702","Briana Nightstand","Bedroom","active","2026-07-11T02:15:11.545Z","https://pictures.coastercenter.com/items/200702/200702_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Briana-Nightstand/200702"
"Coaster Furniture","200703","Briana Dresser","Bedroom","active","2026-07-11T02:16:43.257Z","https://pictures.coastercenter.com/items/200703/200703_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Briana-Dresser/200703"
"Coaster Furniture","200703M","Briana Dresser with Mirror","Bedroom","active","2026-07-11T02:16:51.102Z","https://pictures.coastercenter.com/items/200703M/200703M_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Briana-Dresser-with-Mirror/200703M"
"Coaster Furniture","200704","Briana Dresser Mirror","Bedroom","active","2026-07-11T02:15:11.546Z","https://pictures.coastercenter.com/items/200704/200704_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Briana-Dresser-Mirror/200704"
"Coaster Furniture","200705","Briana Chest of Drawers","Bedroom","active","2026-07-11T02:16:43.256Z","https://pictures.coastercenter.com/items/200705/200705_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Briana-Chest-of-Drawers/200705"
"Coaster Furniture","200711Q-S5","Jessica Bedroom Set","Bedroom","active","2026-07-11T02:14:49.333Z","https://pictures.coastercenter.com/items/200711Q-S5/200711Q-S5_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Jessica-Bedroom-Set/200711Q-S5"
"Coaster Furniture","200713","Jessica Dresser","Bedroom","active","2026-07-11T02:15:58.244Z","https://pictures.coastercenter.com/items/200713/200713_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Jessica-Dresser/200713"
"Coaster Furniture","200719Q","Jessica Wood LED Bookcase Bed","Bedroom","active","2026-07-11T02:15:11.546Z","https://pictures.coastercenter.com/items/200719Q/200719Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Jessica-Wood-LED-Bookcase-Bed/200719Q"
"Coaster Furniture","200719Q-S4","Jessica Bedroom Set (Bookcase Bed)","Bedroom","active","2026-07-11T02:15:18.100Z","https://pictures.coastercenter.com/items/200719Q-S4/200719Q-S4_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Jessica-Bedroom-Set-(Bookcase-Bed)/200719Q-S4"
"Coaster Furniture","201301Q","Sandy Beach Wood Panel Bed","Bedroom","active","2026-07-11T02:15:11.545Z","https://pictures.coastercenter.com/items/201301Q/201301Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Wood-Panel-Bed/201301Q"
"Coaster Furniture","201301Q-S5","Sandy Beach Bedroom Set","Bedroom","active","2026-07-11T02:15:11.545Z","https://pictures.coastercenter.com/items/201301Q-S5/201301Q-S5_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Bedroom-Set/201301Q-S5"
"Coaster Furniture","201302","Sandy Beach Nightstand","Bedroom","active","2026-07-11T02:15:40.628Z","https://pictures.coastercenter.com/items/201302/201302_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Nightstand/201302"
"Coaster Furniture","201303M","Sandy Beach Dresser with Mirror","Bedroom","active","2026-07-11T02:16:13.296Z","https://pictures.coastercenter.com/items/201303M/201303M_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Dresser-with-Mirror/201303M"
"Coaster Furniture","201304","Sandy Beach Dresser Mirror","Bedroom","active","2026-07-11T02:14:27.724Z","https://pictures.coastercenter.com/items/201304/201304_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Dresser-Mirror/201304"
"Coaster Furniture","201305","Sandy Beach Chest of Drawers","Bedroom","active","2026-07-11T02:16:43.256Z","https://pictures.coastercenter.com/items/201305/201305_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Chest-of-Drawers/201305"
"Coaster Furniture","201308","Sandy Beach Door Chest","Bedroom","active","2026-07-11T02:15:58.245Z","https://pictures.coastercenter.com/items/201308/201308_03x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Door-Chest/201308"
"Coaster Furniture","201309Q","Sandy Beach Wood Panel Storage Bed","Bedroom","active","2026-07-11T02:14:16.169Z","https://pictures.coastercenter.com/items/201309Q/201309Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Wood-Panel-Storage-Bed/201309Q"
"Coaster Furniture","201309Q-S5","Sandy Beach Bedroom Set (Storage Bed)","Bedroom","active","2026-07-11T02:16:20.566Z","https://pictures.coastercenter.com/items/201309Q-S5/201309Q-S5_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sandy-Beach-Bedroom-Set-(Storage-Bed)/201309Q-S5"
"Coaster Furniture","202091Q","Carlton Wood Panel Bed","Bedroom","active","2026-07-11T02:15:33.868Z","https://pictures.coastercenter.com/items/202091Q/202091Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Carlton-Wood-Panel-Bed/202091Q"
"Coaster Furniture","202091Q-S5","Carlton Bedroom Set","Bedroom","active","2026-07-11T02:16:43.257Z","https://pictures.coastercenter.com/items/202091Q-S5/202091Q-S5_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Carlton-Bedroom-Set/202091Q-S5"
"Coaster Furniture","202092","Carlton Nightstand","Bedroom","active","2026-07-11T02:14:03.962Z","https://pictures.coastercenter.com/items/202092/202092_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Carlton-Nightstand/202092"
"Coaster Furniture","202093","Carlton Dresser","Bedroom","active","2026-07-11T02:14:03.962Z","https://pictures.coastercenter.com/items/202093/202093_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Carlton-Dresser/202093"
"Coaster Furniture","202093M","Carlton Dresser with Mirror","Bedroom","active","2026-07-11T02:16:34.281Z","https://pictures.coastercenter.com/items/202093M/202093M_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Carlton-Dresser-with-Mirror/202093M"
